Código;Nome;UF;Região;País
2900108;Abaíra;BA;Nordeste;BRA
2900207;Abaré;BA;Nordeste;BRA
2900306;Acajutiba;BA;Nordeste;BRA
2900355;Adustina;BA;Nordeste;BRA
2900405;Água Fria;BA;Nordeste;BRA
2900603;Aiquara;BA;Nordeste;BRA
2900702;Alagoinhas;BA;Nordeste;BRA
2900801;Alcobaça;BA;Nordeste;BRA
2900900;Almadina;BA;Nordeste;BRA
2901007;Amargosa;BA;Nordeste;BRA
2901106;Amélia Rodrigues;BA;Nordeste;BRA
2901155;América Dourada;BA;Nordeste;BRA
2901205;Anagé;BA;Nordeste;BRA
2901304;Andaraí;BA;Nordeste;BRA
2901353;Andorinha;BA;Nordeste;BRA
2901403;Angical;BA;Nordeste;BRA
2901502;Anguera;BA;Nordeste;BRA
2901601;Antas;BA;Nordeste;BRA
2901700;Antônio Cardoso;BA;Nordeste;BRA
2901809;Antônio Gonçalves;BA;Nordeste;BRA
2901908;Aporá;BA;Nordeste;BRA
2901957;Apuarema;BA;Nordeste;BRA
2902054;Araças;BA;Nordeste;BRA
2902005;Aracatu;BA;Nordeste;BRA
2902104;Araci;BA;Nordeste;BRA
2902203;Aramari;BA;Nordeste;BRA
2902252;Arataca;BA;Nordeste;BRA
2902302;Aratuípe;BA;Nordeste;BRA
2902401;Aurelino Leal;BA;Nordeste;BRA
2902500;Baianópolis;BA;Nordeste;BRA
2902609;Baixa Grande;BA;Nordeste;BRA
2902658;Banzaê;BA;Nordeste;BRA
2902708;Barra;BA;Nordeste;BRA
2902807;Barra da Estiva;BA;Nordeste;BRA
2902906;Barra do Choça;BA;Nordeste;BRA
2903003;Barra do Mendes;BA;Nordeste;BRA
2903102;Barra do Rocha;BA;Nordeste;BRA
2903201;Barreiras;BA;Nordeste;BRA
2903235;Barro Alto;BA;Nordeste;BRA
2903300;Barro Preto;BA;Nordeste;BRA
2903276;Barrocas;BA;Nordeste;BRA
2903409;Belmonte;BA;Nordeste;BRA
2903508;Belo Campo;BA;Nordeste;BRA
2903607;Biritinga;BA;Nordeste;BRA
2903706;Boa Nova;BA;Nordeste;BRA
2903805;Boa Vista do Tupim;BA;Nordeste;BRA
2903904;Bom Jesus da Lapa;BA;Nordeste;BRA
2903953;Bom Jesus da Serra;BA;Nordeste;BRA
2904001;Boninal;BA;Nordeste;BRA
2904050;Bonito;BA;Nordeste;BRA
2904100;Boquira;BA;Nordeste;BRA
2904209;Botuporã;BA;Nordeste;BRA
2904308;Brejões;BA;Nordeste;BRA
2904407;Brejolândia;BA;Nordeste;BRA
2904506;Brotas de Macaúbas;BA;Nordeste;BRA
2904605;Brumado;BA;Nordeste;BRA
2904704;Buerarema;BA;Nordeste;BRA
2904753;Buritirama;BA;Nordeste;BRA
2904803;Caatiba;BA;Nordeste;BRA
2904852;Cabaceiras do Paraguaçu;BA;Nordeste;BRA
2904902;Cachoeira;BA;Nordeste;BRA
2905008;Caculé;BA;Nordeste;BRA
2905107;Caém;BA;Nordeste;BRA
2905156;Caetanos;BA;Nordeste;BRA
2905206;Caetité;BA;Nordeste;BRA
2905305;Cafarnaum;BA;Nordeste;BRA
2905404;Cairu;BA;Nordeste;BRA
2905503;Caldeirão Grande;BA;Nordeste;BRA
2905602;Camacan;BA;Nordeste;BRA
2905701;Camaçari;BA;Nordeste;BRA
2905800;Camamu;BA;Nordeste;BRA
2905909;Campo Alegre de Lourdes;BA;Nordeste;BRA
2906006;Campo Formoso;BA;Nordeste;BRA
2906105;Canápolis;BA;Nordeste;BRA
2906204;Canarana;BA;Nordeste;BRA
2906303;Canavieiras;BA;Nordeste;BRA
2906402;Candeal;BA;Nordeste;BRA
2906501;Candeias;BA;Nordeste;BRA
2906600;Candiba;BA;Nordeste;BRA
2906709;Cândido Sales;BA;Nordeste;BRA
2906808;Cansanção;BA;Nordeste;BRA
2906824;Canudos;BA;Nordeste;BRA
2906857;Capela do Alto Alegre;BA;Nordeste;BRA
2906873;Capim Grosso;BA;Nordeste;BRA
2907103;Carinhanha;BA;Nordeste;BRA
2907400;Catolândia;BA;Nordeste;BRA
2907558;Caturama;BA;Nordeste;BRA
2908002;Coaraci;BA;Nordeste;BRA
2908101;Cocos;BA;Nordeste;BRA
2908309;Conceição do Almeida;BA;Nordeste;BRA
2908408;Conceição do Coité;BA;Nordeste;BRA
2908804;Contendas do Sincorá;BA;Nordeste;BRA
2909505;Cravolândia;BA;Nordeste;BRA
2909703;Cristópolis;BA;Nordeste;BRA
2910008;Dário Meira;BA;Nordeste;BRA
2910107;Dom Basílio;BA;Nordeste;BRA
2910602;Esplanada;BA;Nordeste;BRA
2910776;Feira da Mata;BA;Nordeste;BRA
2910800;Feira de Santana;BA;Nordeste;BRA
2910859;Filadélfia;BA;Nordeste;BRA
2911303;Gentio do Ouro;BA;Nordeste;BRA
2911659;Guajeru;BA;Nordeste;BRA
2911907;Iaçu;BA;Nordeste;BRA
